# TSAs flagged by vision QA as not-clearly-correct (mostly: correct tileset not among repo candidates).
# preview	check	issue
graphics/misc/Tsa_08B18D68.map.bin	wrong	~90% magenta, no tileset fits (status unresolved)
graphics/misc/Tsa_ConfigUiFrame.tsa.bin.lz	uncertain	degenerate repeated-tile UI pattern + magenta band at bottom; status unresolved, least-bad render
graphics/misc/Tsa_StaffReelEnt_08A4BB50.tsa.bin.lz	uncertain	majority of frame is orange checker/textured noise fill; only bottom credits band readable; note says no pairing removed it
graphics/misc/Tsa_StaffReelEnt_08A4BCC4.tsa.bin.lz	uncertain	majority of frame is orange checker/noise fill; only bottom credits readable; note says no pairing cleared it
graphics/misc/gTsa_SupportSubScreen.tsa.bin.lz	wrong	tile noise/garbage with magenta bands; no matching tileset (status unresolved)
graphics/misc/gUnknown_089D64EC.tsa.bin.lz	uncertain	pervasive regular grid of magenta missing-tile speckle across whole frame (ids exceed tileset); base storm-cloud silhouette still readable
graphics/misc/gUnknown_08A1B8B8.tsa.bin.lz	uncertain	green/white striped texture reads as noise, not a coherent UI window; note flags unresolved/no tileset fit
graphics/misc/gUnknown_08A1B990.tsa.bin.lz	uncertain	sparse red sprite fragments on green striped field + magenta band; note says no candidate tileset fits (max tile id 782 vs candidate 64)
graphics/misc/gUnknown_08A29558.tsa.bin.lz	uncertain	flat blue-gray field with only a thin green sprite strip at bottom; note says no tileset renders coherent BG, least-bad pick
graphics/misc/gUnknown_08A2C5A8.tsa.bin	uncertain	legible sound-room text glyphs visible but background is garish red/green zigzag stripes; palette imperfect per note
graphics/misc/gUnknown_08A35488.tsa.bin	wrong	full-frame tile noise/garbage, garish random palette; not a coherent render
